resource,endpoint,predicate,count,provider
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,rdfs:label,4,LOC
http://id.loc.gov/vocabulary/organizations,data.szepmuveszeti.hu,loc-ri:recordContentSource,4080,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:hasTopMemberOfMADSScheme,60,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:authoritativeLabel,538,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:hasBroaderExternalAuthority,329,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,rdfs:comment,4,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,owl:sameAs,515,LOC
http://id.loc.gov/vocabulary/relators,lod.openlinksw.com,rdf:type,831,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:code,370,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,owl:sameAs,332,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:authoritativeLabel,538,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:isMemberOfMADSCollection,740,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:hasExactExternalAuthority,761,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:isMemberOfMADSCollection,1136,LOC
http://id.loc.gov/vocabulary/iso639-1,vocabulary.wolterskluwer.de,adms:metadataLanguage,1,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:hasBroaderExternalAuthority,329,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:historyNote,151,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:hasVariant,445,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,rdf:type,2742,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:adminMetadata,464,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,madsrdf:isMemberOfMADSScheme,968,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:hasBroaderExternalAuthority,329,LOC
http://id.loc.gov/authorities,skos.um.es,skos:closeMatch,8937,LOC
http://id.loc.gov/authorities,lod.b3kat.de,dcterms:subject,6931,LOC
http://id.loc.gov/vocabulary/descriptionConventions,data.hnm.hu,loc-bf:descriptionConventions,1822,LOC
http://id.loc.gov/vocabulary/iso639-1,vocabulary.semantic-web.at,rdf:type,2,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,rdfs:label,3,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:historyNote,4,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:isMemberOfMADSCollection,1136,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:adminMetadata,995,LOC
http://id.loc.gov/vocabulary/organizations,data.hnm.hu,loc-ri:recordContentSource,2040,LOC
http://id.loc.gov/ontologies/RecordInfo,data.hnm.hu,rdf:type,2040,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,rdfs:label,3,LOC
http://id.loc.gov/ontologies/bibframe,linkeddata.uriburner.com,rdf:type,174,LOC
http://id.loc.gov/vocabulary/countries,lod.b3kat.de,rdagr1:placeOfPublication,1947,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:historyNote,151,LOC
http://id.loc.gov/authorities,id.ndl.go.jp,skos:exactMatch,7101,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:deprecatedLabel,31,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:adminMetadata,464,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:useInstead,156,LOC
http://id.loc.gov/authorities,ldf.fi,dcterms:subject,1,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,rdf:type,2742,LOC
http://id.loc.gov/authorities,data.hnm.hu,madsrdf:hasExactExternalAuthority,551,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,rdfs:label,3,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,owl:sameAs,332,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:code,370,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:deprecatedLabel,34,LOC
http://id.loc.gov/authorities,aliada.scanbit.net:8891,madsrdf:hasExactExternalAuthority,551,LOC
http://id.loc.gov/vocabulary/organizations,aliada.scanbit.net:8891,loc-ri:recordContentSource,2040,LOC
http://id.loc.gov/ontologies/RecordInfo,data.szepmuveszeti.hu,rdf:type,4080,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,owl:sameAs,535,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:code,515,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:hasMADSCollectionMember,740,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:adminMetadata,1990,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:isMemberOfMADSCollection,1030,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:hasMADSCollectionMember,1030,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:hasBroaderAuthority,816,LOC
http://id.loc.gov/vocabulary/graphicMaterials,digitale.bncf.firenze.sbn.it,skos:closeMatch,1,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:isTopMemberOfMADSScheme,252,LOC
http://id.loc.gov/authorities,202.45.139.84:10035,skos:exactMatch,2150,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,rdfs:label,3,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:code,568,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,rdf:type,1739,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:isMemberOfMADSScheme,1068,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:adminMetadata,1162,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,rdf:type,2485,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:scopeNote,22,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:hasExactExternalAuthority,379,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:isMemberOfMADSCollection,1030,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:historyNote,151,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,madsrdf:authoritativeLabel,332,LOC
http://id.loc.gov/authorities,data.hnm.hu,madsrdf:isIdentifiedByAuthority,16571,LOC
http://id.loc.gov/vocabulary/countries,bnb.data.bl.uk,skos:prefLabel,49,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.szepmuveszeti.hu,madsrdf:scopeNote,22,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:hasTopMemberOfMADSScheme,60,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:deprecatedLabel,34,LOC
http://id.loc.gov/vocabulary/languages,data.hnm.hu,owl:sameAs,515,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:deprecatedLabel,39,LOC
http://id.loc.gov/vocabulary/countries,aliada.scanbit.net:8891,madsrdf:authoritativeLabel,332,LOC
http://id.loc.gov/vocabulary/languages,bnb.data.bl.uk,skos:notation,79,LOC
http://id.loc.gov/vocabulary/languages,aliada.scanbit.net:8891,madsrdf:authoritativeLabel,980,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,rdfs:comment,4,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:useFor,140,LOC
http://id.loc.gov/vocabulary/countries,data.szepmuveszeti.hu,rdf:type,1739,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:deprecatedLabel,31,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:useFor,437,LOC
http://id.loc.gov/vocabulary/languages,data.szepmuveszeti.hu,madsrdf:authoritativeLabel,980,LOC
http://id.loc.gov/vocabulary/geographicAreas,data.hnm.hu,madsrdf:historyNote,54,LOC
http://id.loc.gov/vocabulary/geographicAreas,aliada.scanbit.net:8891,madsrdf:code,568,LOC
http://id.loc.gov/authorities,data.hnm.hu,owl:sameAs,12768,LOC
http://id.loc.gov/vocabulary/countries,data.hnm.hu,madsrdf:code,370,LOC
